Links,Text in links
https://en.wikipedia.org/wiki/Stock,stocks
https://en.wikipedia.org/wiki/Ownership,ownership
https://en.wikipedia.org/wiki/Stock_exchange,stock exchange
https://en.wikipedia.org/wiki/Investor,investors
https://en.wikipedia.org/wiki/Equity_crowdfunding,equity crowdfunding
https://en.wikipedia.org/wiki/Investment_strategy,investment strategy
https://en.wikipedia.org/wiki/Market_capitalization,market capitalization
https://en.wikipedia.org/wiki/United_States_dollar,US$
https://en.wikipedia.org/wiki/Market_capitalization,market capitalization
https://en.wikipedia.org/wiki/Global_market,global market
https://en.wikipedia.org/wiki/Australian_Securities_Exchange,Australian Securities Exchange
https://en.wikipedia.org/wiki/North_America,North America
https://en.wikipedia.org/wiki/Europe,Europe
https://en.wikipedia.org/wiki/Asia,Asia
https://en.wikipedia.org/wiki/Stock_exchange,stock exchange
https://en.wikipedia.org/wiki/Exchange_(organized_market),exchange
https://en.wikipedia.org/wiki/Stockbroker,stockbrokers
https://en.wikipedia.org/wiki/Stock_trader,traders
https://en.wikipedia.org/wiki/Share_(finance),shares
https://en.wikipedia.org/wiki/Stock,stock
https://en.wikipedia.org/wiki/Bond_(finance),bonds
https://en.wikipedia.org/wiki/Security_(finance),securities
https://en.wikipedia.org/wiki/List_of_largest_companies_by_revenue,large companies
https://en.wikipedia.org/wiki/Over-the-counter_(finance),over the counter
https://en.wikipedia.org/wiki/Equity_(finance),Equities
https://en.wikipedia.org/wiki/Stock_investors,stock investors
https://en.wikipedia.org/wiki/Bank,banks
https://en.wikipedia.org/wiki/Insurance,insurance
https://en.wikipedia.org/wiki/Pension_fund,pension funds
https://en.wikipedia.org/wiki/Hedge_fund,hedge funds
https://en.wikipedia.org/wiki/Trader_(finance),trader
https://en.wikipedia.org/wiki/Open_outcry,open outcry
https://en.wikipedia.org/wiki/Commodities_exchange,commodities exchanges
https://en.wikipedia.org/wiki/NASDAQ,NASDAQ
https://en.wikipedia.org/wiki/Marketplace,marketplace
https://en.wikipedia.org/wiki/Price_discovery,price discovery
https://en.wikipedia.org/wiki/New_York_Stock_Exchange,New York Stock Exchange
https://en.wikipedia.org/wiki/Hybrid_market,hybrid market
https://en.wikipedia.org/wiki/Trading_floor,trading floor
https://en.wikipedia.org/wiki/Floor_broker,floor broker
https://en.wikipedia.org/wiki/Market_maker,market maker
https://en.wikipedia.org/wiki/Bid%E2%80%93ask_spread,bid–ask spread
https://en.wikipedia.org/wiki/Program_trading,program trading
https://en.wikipedia.org/wiki/NASDAQ,NASDAQ
https://en.wikipedia.org/wiki/Computer_network,computer network
https://en.wikipedia.org/wiki/Market_maker,market makers
https://en.wikipedia.org/wiki/Paris_Bourse,Paris Bourse
https://en.wikipedia.org/wiki/Euronext,Euronext
https://en.wikipedia.org/wiki/Stockbroker,Stockbrokers
https://en.wikipedia.org/wiki/CATS_(trading_system),CATS trading system
https://en.wikipedia.org/wiki/Order_matching_system,order matching system
https://en.wikipedia.org/wiki/List_of_stock_exchanges,popular exchange
https://en.wikipedia.org/wiki/Instinet,Instinet
https://en.wikipedia.org/wiki/Commission_(remuneration),commissions
https://en.wikipedia.org/wiki/Adverse_selection,adverse selection
https://en.wikipedia.org/wiki/Dark_pool,dark pools
https://en.wikipedia.org/wiki/Market_participant,Market participants
https://en.wikipedia.org/wiki/Institutional_investor,institutional investors
https://en.wikipedia.org/wiki/Pension_fund,pension funds
https://en.wikipedia.org/wiki/Insurance_companies,insurance companies
https://en.wikipedia.org/wiki/Mutual_fund,mutual funds
https://en.wikipedia.org/wiki/Index_fund,index funds
https://en.wikipedia.org/wiki/Exchange-traded_fund,exchange-traded funds
https://en.wikipedia.org/wiki/Hedge_fund,hedge funds
https://en.wikipedia.org/wiki/Financial_institution,financial institutions
https://en.wikipedia.org/wiki/Robo-advisor,Robo-advisors
https://en.wikipedia.org/wiki/Ilya_Strebulaev,Strebulaev
https://en.wikipedia.org/wiki/Income_distribution,income distribution
https://en.wikipedia.org/wiki/Broker,brokers
https://en.wikipedia.org/wiki/Bruges,Bruges
https://en.wikipedia.org/wiki/Flanders,Flanders
https://en.wikipedia.org/wiki/Ghent,Ghent
https://en.wikipedia.org/wiki/Rotterdam,Rotterdam
https://en.wikipedia.org/wiki/13th_century,13th century
https://en.wikipedia.org/wiki/Venice,Venetian
https://en.wikipedia.org/wiki/Pisa,Pisa
https://en.wikipedia.org/wiki/Verona,Verona
https://en.wikipedia.org/wiki/Genoa,Genoa
https://en.wikipedia.org/wiki/Florence,Florence
https://en.wikipedia.org/wiki/Joint_stock_company,joint stock company
https://en.wikipedia.org/wiki/India,India
https://en.wikipedia.org/wiki/Canada,Canada
https://en.wikipedia.org/wiki/Frankfurt_Stock_Exchange,Frankfurt Stock Exchange
https://en.wikipedia.org/wiki/South_Korea,South Korea
https://en.wikipedia.org/wiki/Netherlands,Netherlands
https://en.wikipedia.org/wiki/Company,companies
https://en.wikipedia.org/wiki/Market_liquidity,liquidity
https://en.wikipedia.org/wiki/Property,property
https://en.wikipedia.org/wiki/Stock,stocks
https://en.wikipedia.org/wiki/Central_bank,central banks
https://en.wikipedia.org/wiki/Financial_system,financial system
https://en.wiktionary.org/wiki/raison_d%27%C3%AAtre,raison d'être
https://en.wikipedia.org/wiki/Counterparty,counterparty
https://en.wikipedia.org/wiki/Economic_growth,economic growth
https://en.wikipedia.org/wiki/Global_Financial_Crisis,Global Financial Crisis
https://en.wikipedia.org/wiki/Market_microstructure,market microstructure
https://en.wikipedia.org/wiki/Systemic_risk,systemic risk
https://en.wikipedia.org/wiki/Electronic_trading,electronic trading
https://en.wikipedia.org/wiki/Security_(finance),securities
https://en.wikipedia.org/wiki/Socioeconomics,socioeconomic
https://en.wikipedia.org/wiki/Intellectual_capital,Intellectual capital
https://en.wikipedia.org/wiki/Intellectual_capital,Intellectual capital
https://en.wikipedia.org/wiki/Efficient-market_hypothesis,efficient-market hypothesis
https://en.wikipedia.org/wiki/Efficient-market_hypothesis,efficient-market hypothesis
https://en.wikipedia.org/wiki/Black_Monday_(1987),crash in 1987
https://en.wikipedia.org/wiki/Dow_Jones_Industrial_Average,Dow Jones Industrial Average
https://en.wikipedia.org/wiki/Randomness,randomness
https://en.wikipedia.org/wiki/Market_anomaly,market anomaly
https://en.wikipedia.org/wiki/Value_at_risk,value at risk
https://en.wikipedia.org/wiki/Objectivity_(philosophy),objective
https://en.wikipedia.org/wiki/Gambling,gambling
https://en.wikipedia.org/wiki/Roulette,roulette
https://en.wikipedia.org/wiki/Euphoria,euphoria
https://en.wikipedia.org/wiki/Mass_panic,mass panic
https://en.wikipedia.org/wiki/Share_price,share prices
https://en.wikipedia.org/wiki/Stock,stocks
https://en.wikipedia.org/wiki/Economic_bubble,economic bubbles
https://en.wikipedia.org/wiki/Stock_market_crash,stock market crashes
https://en.wikipedia.org/wiki/Social_security,social security
https://en.wikipedia.org/wiki/Retirement_plan,retirement plans
https://en.wikipedia.org/wiki/Stock,stocks
https://en.wikipedia.org/wiki/Wall_Street_Crash_of_1929,Wall Street Crash of 1929
https://en.wikipedia.org/wiki/Stock_market_crash_of_1973%E2%80%934,stock market crash of 1973–4
https://en.wikipedia.org/wiki/Black_Monday_(1987),Black Monday of 1987
https://en.wikipedia.org/wiki/Dot-com_bubble,Dot-com bubble
https://en.wikipedia.org/wiki/Dow_Jones_Industrial_Average,Dow Jones Industrial Average
https://en.wikipedia.org/wiki/Great_Depression,Great Depression
https://en.wikipedia.org/wiki/Theory_of_rational_conduct_of_human_being,theory of rational human conduct
https://en.wikipedia.org/wiki/Theory_of_market_equilibrium,theory of market equilibrium
https://en.wikipedia.org/wiki/Efficient-market_hypothesis,efficient-market hypothesis
https://en.wikipedia.org/wiki/Federal_Reserve_System,Federal Reserve System
https://en.wikipedia.org/wiki/Great_Recession,Great Recession
https://en.wikipedia.org/wiki/The_Big_Short_(film),The Big Short
https://en.wikipedia.org/wiki/COVID-19,COVID-19
https://en.wikipedia.org/wiki/Volatility_(finance),volatility
https://en.wikipedia.org/wiki/New_York_Stock_Exchange,New York Stock Exchange
https://en.wikipedia.org/wiki/Chicago_Mercantile_Exchange,Chicago Mercantile Exchange
https://en.wikipedia.org/wiki/Standard_%26_Poor%27s,S&P
https://en.wikipedia.org/wiki/FTSE_100_Index,FTSE
https://en.wikipedia.org/wiki/Euronext,Euronext
https://en.wikipedia.org/wiki/NIFTY_50,NIFTY
https://en.wikipedia.org/wiki/BSE_SENSEX,SENSEX
https://en.wikipedia.org/wiki/Market_capitalization,market capitalization
https://en.wikipedia.org/wiki/Exchange-traded_fund,exchange-traded funds
https://en.wikipedia.org/wiki/Stock_index,stock index
https://en.wikipedia.org/wiki/Stock_option,stock options
https://en.wikipedia.org/wiki/Equity_swap,equity swaps
https://en.wikipedia.org/wiki/Single-stock_futures,single-stock futures
https://en.wikipedia.org/wiki/Futures_contract,futures
https://en.wikipedia.org/wiki/Futures_exchange,futures exchanges
https://en.wikipedia.org/wiki/Commodity,commodity
https://en.wikipedia.org/wiki/Over-the-counter_(finance),over-the-counter
https://en.wikipedia.org/wiki/Derivatives_market,derivatives market
https://en.wikipedia.org/wiki/Short_selling,short selling
https://en.wikipedia.org/wiki/Margin_buying,margin buying
https://en.wikipedia.org/wiki/Naked_shorting,naked shorting
https://en.wikipedia.org/wiki/Federal_Reserve,Federal Reserve
https://en.wikipedia.org/wiki/Crash_of_1929,Crash of 1929
https://en.wikipedia.org/wiki/Investment,investment
https://en.wikipedia.org/wiki/Fundamental_analysis,fundamental analysis
https://en.wikipedia.org/wiki/Technical_analysis,technical analysis
https://en.wikipedia.org/wiki/Fundamental_analysis,Fundamental analysis
https://en.wikipedia.org/wiki/Financial_statement,financial statements
https://en.wikipedia.org/wiki/SEC_filing,SEC filings
https://en.wikipedia.org/wiki/Technical_analysis,Technical analysis
https://en.wikipedia.org/wiki/Trend_following,Trend following
https://en.wikipedia.org/wiki/John_W._Henry,John W. Henry
https://en.wikipedia.org/wiki/Ed_Seykota,Ed Seykota
https://en.wikipedia.org/wiki/Risk_management,risk management
https://en.wikipedia.org/wiki/Diversification_(finance),diversification
https://en.wikipedia.org/wiki/Index_fund,index funds
https://en.wikipedia.org/wiki/S%26P_500_Index,S&P 500 Index
https://en.wikipedia.org/wiki/Wilshire_5000,Wilshire 5000
https://en.wikipedia.org/wiki/Fundamental_analysis,fundamental analysis
https://en.wikipedia.org/wiki/Socially_responsible_investing,Socially responsible investing
https://en.wikipedia.org/wiki/Capital_gains_tax,capital gains tax
